"id","ref_id","additional_id","segment_number","technology","hierarchy","length","specification","start_equipment_id","end_equipment_id","core_count","designation","start_structure_id","end_structure_id","object_status","owner","placement_type","start_equipment_port_id","end_equipment_port_id","remediation","remediation_specification","remediation_desc","leadin_cable_transfer","asset_transfer"
"000000012502068907","","",1,"COPPER","CSS",14.0,"Cu 2/0.40, CPFLI, PE","000000004223272637","000000004223272673",2,"WESS P135:O209","000000000200299118","000000000200299121","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502068914","","",1,"COPPER","CSS",14.0,"Cu 2/0.40, CPFLI, PE","000000004223272637","000000004223272673",2,"WESS P135:O227","000000000200299118","000000000200299121","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502068941","","",1,"COPPER","CSS",2.0,"Cu 2/0.40, CPFLI, PE","000000004223272673","",2,"WESS P135:O209","000000000200299121","000000000200316696","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502068942","","",1,"COPPER","CSS",2.0,"Cu 2/0.40, CPFLI, PE","000000004223272673","",2,"WESS P135:O227","000000000200299121","000000000200316697","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502069372","","",1,"COPPER","CSS",15.0,"Cu 2/0.40, CPFLI, PE","000000004223290998","000000004223320730",2,"WESS P128:O8","000000000200398741","000000012502069356","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502069373","","",1,"COPPER","CSS",42.0,"Cu 10/0.40, PEIUT, PE","000000004223290998","000000004223291059",10,"WESS P128:O1-5, WESS P128:O16, WESS P128:O7-10","000000000200398741","000000000200398758","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502071796","","",1,"COPPER","CSS",45.6,"Cu 2/0.40, PEIFLI, PE","000000004223291934","",2,"WESS P81:O1","000000000200402174","000000000200406701","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502072996","","",1,"COPPER","CSS",47.0,"Cu 2/0.40, CPFLI, PE","000000004223276297","000000004223313577",2,"WESS P131:O216, WESS P131:O225","000000000200349864","000000012503606842","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502073127","","",1,"COPPER","CSS",13.2,"Cu 2/0.40, CPFLI, PE","000000004223275791","",2,"WESS P131:O56","000000000200348177","000000000200349507","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502073137","","",1,"COPPER","CSS",13.2,"Cu 2/0.40, CPFLI, PE","000000004223275791","",2,"WESS P131:O57","000000000200348177","000000000200349507","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502073178","","",1,"COPPER","CSS",1.0,"Cu 2/0.40, CPFLI, PE","000000004223275752","",2,"WESS P131:O98","000000000200348165","000000000200349507","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502073180","","",1,"COPPER","CSS",12.2,"Cu 50/0.40, PEIUT, PE","000000004223275752","000000004223275791",50,"WESS P131:O51-100","000000000200348165","000000000200348177","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502111017","","",1,"COPPER","CSS",110.3,"Cu 50/0.40, CPFUT, PE","000000004223172843","000000004223312863",50,"WESS P51:O51-100","000000000200025592","000000012503602228","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502237035","","",1,"COPPER","CSS",6.0,"Cu 50/0.40, PEIUT, PE","000000004223313111","000000004223291440",50,"WESS P81:O51-100","000000012503605409","000000000200401983","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502237039","","",1,"COPPER","CSS",41.5,"Cu 2/0.40, CPFLI, PE","000000004223313111","000000015020712493",2,"WESS P81:O78","000000012503605409","000000012502236946","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502237041","","",1,"COPPER","CSS",41.5,"Cu 2/0.40, CPFLI, PE","000000004223313111","000000015020712491",2,"WESS P81:O77","000000012503605409","000000012502236946","INSERVICE","TELSTRA","","","","","","","N","N"
